full_size_dir,unity_resize_dir,width,height,cosine_similarity
D:\vae_test_set\1920x1080\images\15936.jpg,D:\vae_test_set\1920x1080\64x64\15936.jpg,1920,1080,0.9997998087558729
D:\vae_test_set\1920x1080\images\25056.jpg,D:\vae_test_set\1920x1080\64x64\25056.jpg,1920,1080,0.9997775889464804
D:\vae_test_set\1920x1080\images\12763.jpg,D:\vae_test_set\1920x1080\64x64\12763.jpg,1920,1080,0.9997995022123709
D:\vae_test_set\1920x1080\images\15716.jpg,D:\vae_test_set\1920x1080\64x64\15716.jpg,1920,1080,0.9997420794187086
D:\vae_test_set\1920x1080\images\24172.jpg,D:\vae_test_set\1920x1080\64x64\24172.jpg,1920,1080,0.9997263908728642
D:\vae_test_set\1920x1080\images\9378.jpg,D:\vae_test_set\1920x1080\64x64\9378.jpg,1920,1080,0.999732164495728
D:\vae_test_set\1920x1080\images\5941.jpg,D:\vae_test_set\1920x1080\64x64\5941.jpg,1920,1080,0.9997448959937624
D:\vae_test_set\1920x1080\images\20714.jpg,D:\vae_test_set\1920x1080\64x64\20714.jpg,1920,1080,0.9997806010596122
D:\vae_test_set\1920x1080\images\19660.jpg,D:\vae_test_set\1920x1080\64x64\19660.jpg,1920,1080,0.9996876090549754
D:\vae_test_set\1920x1080\images\4173.jpg,D:\vae_test_set\1920x1080\64x64\4173.jpg,1920,1080,0.999793869539527
D:\vae_test_set\1920x1080\images\15176.jpg,D:\vae_test_set\1920x1080\64x64\15176.jpg,1920,1080,0.9997545770732387
D:\vae_test_set\1920x1080\images\19538.jpg,D:\vae_test_set\1920x1080\64x64\19538.jpg,1920,1080,0.9997335542910912
D:\vae_test_set\1920x1080\images\1595.jpg,D:\vae_test_set\1920x1080\64x64\1595.jpg,1920,1080,0.9997053800821883
D:\vae_test_set\1920x1080\images\2799.jpg,D:\vae_test_set\1920x1080\64x64\2799.jpg,1920,1080,0.9997241923411971
D:\vae_test_set\1920x1080\images\29743.jpg,D:\vae_test_set\1920x1080\64x64\29743.jpg,1920,1080,0.9997073493912843
D:\vae_test_set\1920x1080\images\26539.jpg,D:\vae_test_set\1920x1080\64x64\26539.jpg,1920,1080,0.9997393867483138
D:\vae_test_set\1920x1080\images\16948.jpg,D:\vae_test_set\1920x1080\64x64\16948.jpg,1920,1080,0.9997028474727893
D:\vae_test_set\1920x1080\images\14364.jpg,D:\vae_test_set\1920x1080\64x64\14364.jpg,1920,1080,0.9997530361213999
D:\vae_test_set\1920x1080\images\11354.jpg,D:\vae_test_set\1920x1080\64x64\11354.jpg,1920,1080,0.9998028084082095
D:\vae_test_set\1920x1080\images\15494.jpg,D:\vae_test_set\1920x1080\64x64\15494.jpg,1920,1080,0.9998038410771212
D:\vae_test_set\1920x1080\images\2896.jpg,D:\vae_test_set\1920x1080\64x64\2896.jpg,1920,1080,0.9997467165565678
D:\vae_test_set\1920x1080\images\24868.jpg,D:\vae_test_set\1920x1080\64x64\24868.jpg,1920,1080,0.9997869511679851
D:\vae_test_set\1920x1080\images\4397.jpg,D:\vae_test_set\1920x1080\64x64\4397.jpg,1920,1080,0.9997689850203864
D:\vae_test_set\1920x1080\images\21974.jpg,D:\vae_test_set\1920x1080\64x64\21974.jpg,1920,1080,0.9997887201954266
D:\vae_test_set\1920x1080\images\10662.jpg,D:\vae_test_set\1920x1080\64x64\10662.jpg,1920,1080,0.9996640986484827
D:\vae_test_set\1920x1080\images\25221.jpg,D:\vae_test_set\1920x1080\64x64\25221.jpg,1920,1080,0.9998062980921787
